folder,file,size
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069865/1,1_G4KNRK069865_LowerZone2[ALWAYS]_Step4_[202205]_OK.jpg,351832
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069865/1,1_G4KNRK069865_UpperZone1[ALWAYS]_Step1_[202205]_OK.jpg,743100
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069872/1,1_G4KNRK069872_UpperZone1[ALWAYS]_Step1_[202748]_OK.jpg,728458
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069872/1,1_G4KNRK069872_LowerZone2[ALWAYS]_Step4_[202748]_OK.jpg,347321
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069872/1,1_G4KNRK069872_UpperZone2[ALWAYS]_Step2_[202748]_OK.jpg,696159
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069872/1,1_G4KNRK069872_LowerZone1[ALWAYS]_Step3_[202748]_OK.jpg,367121
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069954/1,1_G4KNRK069954_UpperZone1[ALWAYS]_Step1_[215600]_OK.jpg,726023
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069954/1,1_G4KNRK069954_LowerZone1[ALWAYS]_Step3_[215600]_OK.jpg,364558
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069954/1,1_G4KNRK069954_LowerZone2[ALWAYS]_Step4_[215600]_OK.jpg,350501
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069954/1,1_G4KNRK069954_UpperZone2[ALWAYS]_Step2_[215600]_OK.jpg,681985
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069951/1,1_G4KNRK069951_LowerZone1[ALWAYS]_Step3_[215327]_OK.jpg,371960
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069951/1,1_G4KNRK069951_UpperZone2[ALWAYS]_Step2_[215327]_OK.jpg,681554
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069951/1,1_G4KNRK069951_LowerZone2[ALWAYS]_Step4_[215327]_OK.jpg,349227
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069951/1,1_G4KNRK069951_UpperZone1[ALWAYS]_Step1_[215327]_OK.jpg,712448
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069952/1,1_G4KNRK069952_LowerZone1[ALWAYS]_Step3_[215523]_OK.jpg,355404
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069952/1,1_G4KNRK069952_UpperZone1[ALWAYS]_Step1_[215523]_OK.jpg,716411
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069952/1,1_G4KNRK069952_UpperZone2[ALWAYS]_Step2_[215523]_OK.jpg,675439
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069952/1,1_G4KNRK069952_LowerZone2[ALWAYS]_Step4_[215523]_OK.jpg,345099
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070085/1,1_G4KNRK070085_LowerZone2[ALWAYS]_Step4_[233729]_OK.jpg,361227
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070085/1,1_G4KNRK070085_UpperZone2[ALWAYS]_Step2_[233729]_OK.jpg,685513
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070085/1,1_G4KNRK070085_UpperZone1[ALWAYS]_Step1_[233729]_OK.jpg,735120
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070085/1,1_G4KNRK070085_LowerZone1[ALWAYS]_Step3_[233729]_OK.jpg,369099
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069938/1,1_G4KNRK069938_UpperZone1[ALWAYS]_Step1_[213226]_OK.jpg,733012
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069938/1,1_G4KNRK069938_LowerZone1[ALWAYS]_Step3_[213226]_OK.jpg,367791
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069938/1,1_G4KNRK069938_UpperZone2[ALWAYS]_Step2_[213226]_OK.jpg,698979
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069938/1,1_G4KNRK069938_LowerZone2[ALWAYS]_Step4_[213226]_OK.jpg,347626
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069840/1,1_G4KNRK069840_UpperZone1[ALWAYS]_Step1_[194742]_OK.jpg,724203
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069840/1,1_G4KNRK069840_LowerZone2[ALWAYS]_Step4_[194742]_OK.jpg,347804
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069840/1,1_G4KNRK069840_LowerZone1[ALWAYS]_Step3_[194742]_OK.jpg,374052
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069840/1,1_G4KNRK069840_UpperZone2[ALWAYS]_Step2_[194742]_OK.jpg,677454
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070040/1,1_G4KNRK070040_UpperZone2[ALWAYS]_Step2_[230307]_OK.jpg,678025
